Circuit;Location;Country;Current Length;Grand Prix
Albert Park;Melbourne;Australia;5.303 km;Australian Grand Prix
Bahrain International Circuit;Sakhir;Bahrain;5.412 km;Bahrain Grand Prix
Circuit de Barcelona-Catalunya;Montmeló;Spain;4.655 km;Spanish Grand Prix
Circuit of the Americas;Austin;United States;5.470 km;United States Grand Prix
Circuit Gilles Villeneuve;Montreal;Canada;4.361 km;Canadian Grand Prix
Hockenheimring;Hockenheim;Germany;4.574 km;German Grand Prix
Hungaroring;Budapest;Hungary;4.381 km;Hungarian Grand Prix
Autódromo José Carlos Pace;Sao Paulo;Brazil;4.309 km;Brazilian Grand Prix
Marina Bay Street Circuit;Marina Bay;Singapore;5.065 km;Singapore Grand Prix
Circuit de Monaco;Monte Carlo;Monaco;3.340 km;Monaco Grand Prix
Autodromo Nazionale Monza;Monza;Italy;5.793 km;Italian Grand Prix
Red Bull Ring;Zeltweg;Austria;4.326 km;Austrian Grand Prix
Sepang International Circuit;Kuala Lumpur;Malaysia;5.543 km;Malaysian Grand Prix
Shanghai International Circuit;Shanghai;China;5.451 km;Chinese Grand Prix
Silverstone Circuit;Silverstone;United Kingdom;5.891 km;British Grand Prix
Sochi Autodrom;Sochi;Russia;5.872 km;Russian Grand Prix
Circuit de Spa-Francorchamps;Spa;Belgium;7.004 km;Belgian Grand Prix
Suzuka Circuit;Suzuka;Japan;5.807 km;Japanese Grand Prix
Yas Marina Circuit;Abu Dhabi;United Arab Emirates;5.554 km;Abu Dhabi Grand Prix
