Konstruktorji;BHR;MYS;AUS;SMR;EUR;ESP;MCO;GBR;CAN;USA;FRA;DEU;HUN;TUR;ITA;CHN;JPN;BRA;Toèke
Renault;10;18;14;9;11;16;13;15;15;10;11;7;-;11;5;14;16;11;206
Ferrari;8;7;-;15;16;13;4;12;12;18;16;18;3;16;10;10;8;15;201
McLaren Mercedes;10;5;8;10;5;4;8;9;6;-;6;6;8;4;8;4;4;5;110
Honda;5;6;2;2;4;5;5;-;-;3;-;5;15;6;7;8;5;8;86
BMW Sauber BMW;-;2;8;-;1;1;2;3;2;-;1;-;6;-;7;2;1;-;36
Toyota;-;1;6;-;-;-;1;-;3;5;5;2;3;2;2;-;5;-;35
Red Bull Ferrari;1;-;1;-;-;-;6;-;1;2;-;1;4;-;-;-;-;-;16
Williams Cosworth;5;-;-;3;2;-;-;-;-;-;-;-;-;-;-;1;-;-;11
Toro Rosso Cosworth;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
Midland Toyota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Super Aguri Honda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
