Konstruktorji;AUS;MYS;BHR;ESP;MCO;CAN;USA;FRA;GBR;EUR;HUN;TUR;ITA;BEL;JPN;CHN;BRA;Toèke
Ferrari;13;10;16;10;7;4;11;18;14;8;8;18;6;18;9;16;18;204
BMW Sauber BMW;5;5;8;5;7;8;1;9;8;5;10;6;9;4;2;2;7;101
Renault;4;4;1;2;5;5;4;3;3;1;1;3;2;1;12;-;-;51
Williams Toyota;2;-;-;3;2;6;-;-;-;5;2;2;3;3;-;-;5;33
Red Bull Renault;-;-;-;4;-;-;2;-;-;10;-;-;-;2;5;1;-;24
Toyota;1;2;2;-;-;1;3;-;-;-;3;-;-;-;-;-;1;13
Toro Rosso Ferrari;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;8
Honda;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4;-;6
Super Aguri Honda;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;4
Spyker Ferrari;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
