Konstruktorji;AUS;MYS;BHR;ESP;TUR;MCO;CAN;FRA;GBR;DEU;HUN;EUR;BEL;ITA;SGP;JPN;CHN;BRA;Toèke
Ferrari;1;10;18;18;16;6;4;18;5;9;6;10;10;3;-;8;14;16;172
McLaren Mercedes;14;10;4;6;8;11;-;5;14;14;14;13;6;10;6;-;10;6;151
BMW Sauber BMW;8;11;11;5;9;8;18;4;8;7;1;6;11;10;3;8;7;-;135
Renault;5;1;-;-;3;-;-;3;3;8;8;-;5;5;10;15;6;8;80
Toyota;-;5;3;1;-;-;8;6;2;-;10;6;-;-;5;4;2;4;56
Toro Rosso Ferrari;2;-;-;-;-;4;1;-;-;1;-;3;6;10;4;3;-;5;39
Red Bull Renault;-;2;2;4;2;5;6;3;-;-;-;-;1;1;2;1;-;-;29
Williams Toyota;9;-;1;2;1;2;-;-;1;-;-;1;-;-;9;-;-;-;26
Honda;-;-;-;3;-;3;2;-;6;-;-;-;-;-;-;-;-;-;14
Force India Ferrari;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Super Aguri Honda;-;-;-;-;-;;;;;;;;;;;;;;0
