Konstruktorji;AUS;MYS;CHN;BHR;ESP;MCO;TUR;GBR;DEU;HUN;EUR;BEL;ITA;SGP;JPN;BRA;ABD;Toèke
Brawn GP Mercedes;18;7;11;14;18;18;10;9;7;2;12;2;18;7;3;5;11;172
Red Bull Renault;-;1.maj;18;8;11;4;14;18;18;6;-;6;1;5;10;15;18;153.50
McLaren Mercedes;-;1;7;5;-;-;-;-;1;14;13;3;3;12;6;6;-;71
Ferrari;-;-;-;3;3;11;3;6;6;8;6;10;6;-;5;3;-;70
Toyota;11;5.maj;2;8;-;-;6;2;-;4;-;-;-;8;8;-;5;59.50
BMW Sauber BMW;-;4;-;-;2;-;2;-;-;-;1;9;2;1;3;8;4;36
Williams Toyota;3;0.5;-;-;1;3;4;4;5;5;4;1;-;-;4;-;-;34.50
Renault;4;-;-;1;4;2;-;-;2;-;3;-;4;6;-;-;-;26
Force India Mercedes;-;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;13
Toro Rosso Ferrari;3;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2;1;8
<<<<<<< HEAD
=======
;;;;;;;;;;;;;;;;;;
>>>>>>> 7bd9b0dd2cb459dfc266262ea0e6bc4500271251
