Konstruktorji;BHR;AUS;MYS;CHN;ESP;MCO;TUR;CAN;EUR;GBR;DEU;HUN;BEL;ITA;SGP;JPN;KOR;BRA;ABD;Toèke
Red Bull Renault;16;2;43;12;40;43;15;22;25;31;23;40;18;20;33;43;-;43;29;498
McLaren Mercedes;21;33;12;43;10;10;43;43;33;30;22;4;25;18;12;22;18;22;33;454
Ferrari;43;27;6;14;26;20;10;15;4;-;43;30;12;40;29;15;40;15;7;396
Mercedes;18;11;15;16;12;6;22;8;1;17;6;-;14;12;10;8;12;14;12;214
Renault;-;18;12;16;4;15;8;6;10;-;7;10;17;4;6;-;10;2;18;163
Williams Cosworth;1;4;1;-;2;-;-;-;12;11;-;9;-;7;9;2;7;4;-;69
Force India Mercedes;2;6;10;-;6;6;2;3;8;4;-;-;11;-;2;-;8;-;-;68
BMW Sauber Ferrari;-;-;-;-;-;-;1;-;6;8;-;8;4;-;-;10;6;1;-;44
Toro Rosso Ferrari;-;-;2;-;1;1;-;4;2;-;-;-;-;-;-;1;-;-;2;13
Lotus Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
HRT Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Virgin Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
