Konstruktorji;AUS;MYS;CHN;TUR;ESP;MCO;CAN;EUR;GBR;DEU;HUN;BEL;ITA;SGP;JPN;KOR;IND;ABD;BRA;Toèke
Red Bull Renault;35;37;33;43;37;37;33;40;33;27;28;43;25;40;27;40;37;12;43;650
McLaren Mercedes;26;22;37;20;33;23;25;20;12;25;37;15;30;28;35;30;24;40;15;497
Ferrari;18;18;14;15;10;18;8;28;35;28;23;16;23;14;24;18;15;28;22;375
Mercedes;-;2;14;10;14;-;12;6;10;10;2;18;10;6;9;4;18;14;6;165
Renault;15;15;2;10;4;4;10;1;4;1;-;2;2;-;2;-;-;-;1;73
Force India Mercedes;3;1;-;-;-;6;-;2;-;8;6;6;4;12;-;1;2;6;12;69
Sauber Ferrari;-;6;1;1;3;10;6;-;6;2;-;-;-;1;4;-;1;1;2;44
Toro Rosso Ferrari;4;-;-;2;-;1;5;4;1;-;5;-;7;-;-;8;4;-;-;41
Williams Cosworth;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;5
Lotus Renault;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
HRT Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Virgin Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
