Konstruktorji;AUS;MYS;CHN;BHR;ESP;MCO;CAN;EUR;GBR;DEU;HUN;BEL;ITA;SGP;JPN;KOR;IND;ABD;USA;BRA;Toèke
Red Bull Renault;30;12;22;37;8;37;18;12;40;14;16;26;-;25;27;43;40;15;18;20;460
Ferrari;10;25;2;8;18;23;11;25;30;25;12;10;27;19;18;27;26;24;27;33;400
McLaren Mercedes;40;15;33;4;6;10;25;4;5;18;33;25;25;18;22;1;22;12;35;25;378
Lotus Renault;6;10;8;33;27;2;22;18;18;15;33;15;10;14;8;16;8;25;14;1;303
Mercedes;-;1;25;11;6;18;8;23;6;7;1;6;14;10;-;-;-;-;-;6;142
Sauber Ferrari;12;18;1;-;10;-;17;2;-;20;-;-;20;1;15;-;-;8;-;2;126
Force India Mercedes;1;8;-;8;1;10;-;16;-;2;-;13;4;12;6;8;4;2;4;10;109
Williams Renault;-;8;10;-;25;1;-;1;2;-;6;-;1;-;4;-;1;14;3;-;76
Toro Rosso Ferrari;2;4;-;-;-;-;-;-;-;-;-;6;-;2;1;6;-;1;-;4;26
Caterham Renault;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Marussia Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
HRT Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
