Konstruktorji;AUS;MYS;CHN;BHR;ESP;MCO;CAN;GBR;DEU;HUN;BEL;ITA;SGP;KOR;JPN;IND;ABD;USA;BRA;Toèke
Red Bull Renault;23;43;12;31;22;33;37;18;31;27;35;40;25;25;43;25;43;40;43;596
Mercedes;10;27;15;12;8;37;25;37;12;25;27;10;22;16;4;26;21;14;12;360
Ferrari;30;10;33;4;40;6;22;23;12;14;24;30;26;10;13;12;14;10;21;354
Lotus Renault;26;14;20;33;18;1;2;10;33;26;4;4;15;33;25;21;12;18;-;315
McLaren Mercedes;2;2;10;9;6;8;-;-;12;8;8;1;10;5;2;10;2;7;20;122
Force India Mercedes;10;-;4;12;6;12;7;8;-;-;2;-;1;-;-;6;9;-;-;77
Sauber Ferrari;-;4;1;-;-;-;-;1;1;-;-;10;2;12;14;-;-;8;4;57
Toro Rosso Ferrari;-;1;6;-;1;4;8;4;-;-;1;6;-;-;-;1;-;-;1;33
Williams Renault;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;-;5
Marussia Cosworth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Caterham Renault;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
