Konstruktorji;AUS;MYS;BHR;CHN;ESP;MCO;CAN;AUT;GBR;DEU;HUN;BEL;ITA;SGP;JPN;RUS;USA;BRA;ABD;Toèke
Mercedes;25;43;43;43;43;43;18;43;25;40;27;18;43;25;43;43;43;43;50;701
Red Bull Renault;-;15;20;22;27;15;40;4;25;20;31;35;18;33;27;10;21;10;32;405
Williams Mercedes;10;10;10;6;10;6;6;27;18;18;14;15;27;10;14;15;22;16;66;320
Ferrari;18;12;3;19;14;12;9;11;8;10;26;18;2;16;-;10;8;14;6;216
McLaren Mercedes;33;10;-;-;-;9;14;6;18;6;1;8;5;1;10;22;4;14;20;181
Force India Mercedes;9;10;25;10;3;10;10;10;4;7;-;5;6;8;5;1;-;4;28;155
Toro Rosso Renault;6;1;-;1;-;-;4;-;3;-;2;2;-;8;2;-;1;-;-;30
Lotus Renault;-;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;2;-;-;10
Marussia Ferrari;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;;;;2
Sauber Ferrari;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0
Caterham Renault;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;0
