Konstruktorji;AUS;MYS;CHN;BHR;ESP;MCO;CAN;AUT;GBR;HUN;BEL;ITA;Toèke
Mercedes;43;33;43;40;43;40;43;43;43;12;43;25;451
Ferrari;15;37;27;28;25;26;22;12;19;25;6;28;270
Williams Mercedes;12;18;18;13;20;-;23;25;22;-;10;27;188
Red Bull Renault;8;3;2;10;7;22;2;1;8;33;12;5;113
Force India Mercedes;7;-;-;4;-;6;4;10;8;-;10;14;63
Lotus Mercedes;-;-;6;6;4;-;7;6;-;6;15;-;50
Toro Rosso Renault;2;10;-;-;2;1;-;4;-;12;4;-;35
Sauber Ferrari;14;-;5;-;-;2;-;-;-;1;1;2;25
McLaren Honda;-;-;-;-;-;4;-;-;1;12;-;-;17
Marussia Ferrari;-;-;-;-;-;-;-;-;-;-;-;-;0
